Rank,Player,Team,Pos,Tier,ADP,Notes
381.17,Kyson Witherspoon,BOS,SP,,,
381.50,Zach Eflin,BAL,SP,,,
382.00,Chase Meidroth,CHW,"2B,SS",,,
382.00,Tyler Wells,BAL,SP,,,
382.25,Joe Mack,MIA,C,,,
382.50,Michael McGreevy,STL,SP,,,
383.50,Christian Walker,HOU,1B,,,
384.00,TJ Nichols,,,,,
385.17,TJ Friedl,CIN,OF,,,
385.75,Jack Perkins,ATH,RP,,,
386.00,Elmer Rodriguez Cruz,,,,,
386.50,Billy Carlson,CHW,SS,,,
386.50,Brady House,WAS,3B,,,
386.50,Marcell Ozuna,PIT,DH,,,
386.83,Tommy Edman,LAD,"2B,3B,OF",,,
387.00,Mick Abel,MIN,SP,,,
388.00,Jace Jung,DET,3B,,,
388.00,Miguel Vargas,CHW,"1B,3B",,,
388.33,C.J. Kayfus,CLE,"1B,OF",,,
388.60,Ethan Conrad,CHC,OF,,,
389.60,Brandon Sproat,MIL,SP,,,
389.67,Sean Manaea,NYM,SP,,,
389.67,Zack Littell,CIN,SP,,,
389.83,Carlos Lagrange,NYY,SP,,,
390.50,Grant Holmes,ATL,SP,,,
391.50,Slade Caldwell,ARI,OF,,,
392.00,Carmen Mlodzinski,PIT,"SP,RP",,,
392.60,Carlos Estevez,KC,RP,,,
392.67,River Ryan,LAD,SP,,,
392.83,Parker Messick,CLE,SP,,,
393.33,Dennis Santana,PIT,RP,,,
394.00,Brooks Baldwin,CHW,"2B,3B,SS,OF",,,
394.33,Justin Martinez,ARI,RP,,,
395.00,Austin Martin,MIN,OF,,,
395.00,CJ Kayfus,,,,,
395.83,Merrill Kelly,ARI,SP,,,
396.83,Brooks Lee,MIN,"2B,3B,SS",,,
397.00,Hector Rodriguez,CIN,OF,,,
397.25,Jose Caballero,NYY,"2B,3B,SS,OF",,,
398.00,Jacob Latz,TEX,"SP,RP",,,
399.00,Juan Sanchez,TOR,3B,,,
400.00,Ryan O’Hearn,,,,,
400.17,Jacob Reimer,NYM,3B,,,
401.00,Chase Harlan,LAD,3B,,,
402.00,Christian Encarnacion-Strand,CIN,1B,,,
402.00,Kyle Leahy,STL,RP,,,
402.40,Robert Suarez,ATL,RP,,,
403.00,Gavie Fien,,,,,
404.00,Casey Schmitt,SF,"1B,2B,3B",,,
404.00,Will Vest,DET,RP,,,
404.50,Denzel Clarke,ATH,OF,,,
404.75,Connor Norby,MIA,3B,,,
405.00,Zach McKinstry,DET,"3B,SS,OF",,,
405.33,Jake Burger,TEX,1B,,,
405.33,Lucas Giolito,BOS,SP,,,
405.33,Tyler O'Neill,BAL,OF,,,
405.50,Lars Nootbaar,STL,OF,,,
405.67,Aidan Smith,TB,OF,,,
406.00,Slade Cecconi,CLE,SP,,,
406.00,Tylor Megill,NYM,SP,,,
407.00,Hyeseong Kim,,,,,
407.17,Ian Seymour,TB,"SP,RP",,,
407.17,Ricky Tiedemann,TOR,SP,,,
407.50,Harry Ford,WAS,C,,,
408.33,Caden Dana,LAA,SP,,,
409.40,Kumar Rocker,TEX,SP,,,
410.20,Brice Matthews,HOU,2B,,,
411.00,Esteban Mejia,TEX,3B,,,
411.00,Johan Oviedo,BOS,SP,,,
411.00,Simeon Woods Richardson,MIN,SP,,,
412.50,Juneiker Caceres,CLE,OF,,,
414.00,Jhonny Level,SF,SS,,,
414.33,Pete Fairbanks,MIA,RP,,,
416.00,Spencer Horwitz,PIT,1B,,,
416.75,Hayden Birdsong,SF,"SP,RP",,,
417.00,Edgar Quero,CHW,C,,,
417.60,Xavier Isaac,TB,1B,,,
417.75,Ethan Salas,SD,C,,,
418.50,Tanner McDougal,CHW,SP,,,
418.60,Reid Detmers,LAA,RP,,,
419.33,Griffin Jax,TB,RP,,,
419.67,Rhys Hoskins,MIL,1B,,,
420.00,Kyle Harrison,MIL,SP,,,
420.67,Josh Smith,,,,,
421.20,Joey Cantillo,CLE,"SP,RP",,,
421.25,Nate George,BAL,OF,,,
422.50,Michael Forret,TB,SP,,,
422.60,Jordan Walker,STL,OF,,,
422.67,Matthew Liberatore,STL,SP,,,
425.00,Tyler Locklear,ARI,1B,,,
425.25,Colby Thomas,ATH,OF,,,
425.50,Demetrio Crisantes,ARI,2B,,,
426.00,JR Ritchie,ATL,SP,,,
426.00,Roldy Brito,COL,OF,,,
426.25,Kevin Alcantara,CHC,OF,,,
427.50,Angel Genao,CLE,SS,,,
427.67,Brady Singer,CIN,SP,,,
428.00,Elian Pena,NYM,SS,,,
429.50,Didier Fuentes,ATL,SP,,,
429.50,Jeremiah Estrada,SD,RP,,,
430.00,Clay Holmes,NYM,SP,,,
430.00,Deniel Ortiz,STL,3B,,,
430.00,Jose Berrios,TOR,SP,,,
430.67,Felix Bautista,BAL,RP,,,
430.80,Hunter Barco,PIT,RP,,,
431.00,Cedric Mullins II,,,,,
431.20,Cam Collier,CIN,1B,,,
432.00,Cade Cavalli,WAS,SP,,,
432.50,Gavin Sheets,SD,"1B,OF",,,
432.75,Brock Wilken,MIL,3B,,,
433.00,Justin Gonzales,BOS,OF,,,
433.00,Reynaldo Lopez,ATL,SP,,,
433.60,Parker Meadows,DET,OF,,,
433.75,Jesus Sanchez,TOR,OF,,,
434.00,Wandy Asigen,NYM,SS,,,
434.25,Gavin Fien,WAS,SS,,,
434.50,Tyler O’Neill,,,,,
434.67,Jorge Soler,LAA,OF,,,
435.00,Clayton Beeter,WAS,RP,,,
435.00,Yusei Kikuchi,LAA,SP,,,
436.00,Brandon Marsh,PHI,OF,,,
436.40,Caden Scarborough,TEX,SP,,,
436.50,Jacob Melton,TB,OF,,,
437.00,Javier Sanoja,MIA,"2B,3B,SS,OF",,,
437.00,Tyler Stephenson,CIN,C,,,
437.25,Kenley Jansen,DET,RP,,,
439.50,Cedric Mullins,TB,OF,,,
440.00,Griffin Conine,MIA,OF,,,
440.50,Dillon Dingler,DET,C,,,
440.50,Nolan Gorman,STL,"2B,3B",,,
440.50,Termarr Johnson,PIT,2B,,,
441.00,Henderson Alvarez III,,,,,
441.00,Tommy Troy,ARI,2B,,,
442.50,Orion Kerkering,PHI,RP,,,
443.75,Ronny Mauricio,NYM,3B,,,
443.80,Chad Patrick,MIL,SP,,,
444.33,Zack Gelof,ATH,2B,,,
444.67,Noble Meyer,MIA,SP,,,
444.80,Seth Lugo,KC,SP,,,
445.00,Jameson Taillon,CHC,SP,,,
447.00,Sean Gamble,KC,OF,,,
447.33,Andrew Fischer,MIL,3B,,,
447.50,Nick Castellanos,SD,OF,,,
448.00,Ethan Frey,HOU,OF,,,
448.00,Michael Soroka,,,,,
448.33,Ryan Jeffers,MIN,C,,,
448.50,Justin Wrobleski,LAD,RP,,,
449.00,Nick Becker,SEA,SS,,,
449.75,Ryan Walker,MIN,SS,,,
450.00,Francisco Renteria,PHI,OF,,,
450.00,J.T. Ginn,ATH,SP,,,
450.00,Luis De Leon,BAL,SP,,,
450.00,Ryan Mountcastle,BAL,1B,,,
451.00,Angeibel Gomez,KC,OF,,,
451.33,Kyle Finnegan,DET,RP,,,
451.33,Mike Yastrzemski,ATL,OF,,,
451.33,Zac Veen,COL,OF,,,
451.50,Jeff McNeil,ATH,"2B,OF",,,
452.00,Kevin Alvarez,HOU,OF,,,
452.00,Thomas Saggese,STL,"2B,3B,SS",,,
453.00,Robert Hassell III,,,,,
453.25,Ben Brown,CHC,"SP,RP",,,
454.00,Christian Oppor,CHW,SP,,,
455.00,Victor Robles,SEA,OF,,,
455.33,Aroon Escobar,PHI,2B,,,
456.00,Joey Ortiz,,,,,
456.00,Tre' Morgan,TB,1B,,,
457.00,James Tibbs III,,,,,
457.50,Dustin May,STL,SP,,,
458.00,Heriberto Hernandez,MIA,OF,,,
458.17,Andres Gimenez,TOR,"2B,SS",,,
459.00,David Hagaman,ARI,SP,,,
459.00,Kayson Cunningham,ARI,SS,,,
460.00,Josh Bell,MIN,1B,,,
460.00,Kash Mayfield,SD,SP,,,
462.00,Alejandro Rosario,WAS,SP,,,
462.00,Thayron Liranzo,DET,C,,,
462.67,Carlos Narvaez,BOS,C,,,
462.75,Jonathon Long,CHC,1B,,,
464.00,Cody Bradford,TEX,SP,,,
464.00,J.R. Ritchie,,,,,
464.75,Adael Amador,COL,2B,,,
